Month,Violence Against the Person,Theft and Handling,Robbery,Drugs,Criminal Damage,Burglary,Number of Houses Sold
01/01/2008,12719,24014,2887,5230,8061,8396,51461
02/01/2008,12123,22980,2455,6071,7677,7296,53832
03/01/2008,13244,23632,2585,5769,7818,7485,50014
04/01/2008,12590,23660,2498,5158,8113,6827,52480
05/01/2008,14577,23695,2490,5868,8273,6889,53707
06/01/2008,14751,23794,2448,5366,7981,6989,48965
07/01/2008,15096,24814,2390,6062,7872,6983,44580
08/01/2008,13394,22791,2275,5971,7476,7163,40160
09/01/2008,12760,22738,2206,5815,7367,6607,34534
10/01/2008,13389,25478,2520,6334,7517,7229,35822
11/01/2008,13069,24008,2588,6034,7048,7759,28740
12/01/2008,12132,22088,2285,5126,6669,8469,31851
01/01/2009,12542,22332,2592,5287,6866,8662,22242
02/01/2009,12055,20819,2349,5016,6585,7107,22378
03/01/2009,13961,24219,2612,5718,7867,8143,28958
04/01/2009,13062,23403,2589,4033,7873,7309,31111
05/01/2009,14591,24439,2707,4462,8237,7571,36274
06/01/2009,14548,24638,2497,5239,7636,7620,42760
07/01/2009,14116,24955,2434,5765,7420,7629,52545
08/01/2009,13791,22595,2251,5025,7080,7045,49219
09/01/2009,13029,22728,2288,4758,6912,7211,50318
10/01/2009,13586,24253,2584,5630,6745,7493,54953
11/01/2009,13177,23415,2314,5329,6581,7765,51675
12/01/2009,12319,21696,2351,4287,5763,7064,64459
01/01/2010,12572,21022,2562,5056,5931,6959,34067
02/01/2010,12147,21523,2629,5005,5719,7153,38023
03/01/2010,13981,25578,3176,5134,7169,7586,44487
04/01/2010,13306,24534,2719,4644,7177,6794,44434
05/01/2010,14442,25045,3014,4803,7022,6850,44515
06/01/2010,14658,25637,2701,4674,7187,6850,54289
07/01/2010,14952,25928,2544,5432,7136,6773,58555
08/01/2010,12951,23763,2306,5796,6477,6898,53477
09/01/2010,12812,25215,2520,4924,6250,7117,50395
10/01/2010,12930,26293,2706,5267,6421,7603,49662
11/01/2010,12052,25417,2786,4659,6288,8589,47959
12/01/2010,11091,20969,2678,3280,5120,7654,47823
01/01/2011,11866,23277,3059,4624,5632,8698,34048
